ppo: upd 720 rew/step=0.0028 pi=-0.006 v=0.007 ent=0.657 t=1027s
ppo: upd 725 rew/step=0.0014 pi=-0.006 v=0.003 ent=0.559 t=1036s
ppo: upd 730 rew/step=0.0010 pi=-0.005 v=0.003 ent=0.544 t=1046s
ppo: upd 735 rew/step=0.0013 pi=-0.005 v=0.003 ent=0.614 t=1057s
ppo: upd 740 rew/step=0.0012 pi=-0.003 v=0.006 ent=0.601 t=1068s
ppo: upd 745 rew/step=0.0024 pi=-0.006 v=0.003 ent=0.691 t=1077s
ppo: upd 750 rew/step=0.0007 pi=-0.007 v=0.006 ent=0.527 t=1087s
ppo: upd 755 rew/step=0.0032 pi=-0.004 v=0.009 ent=0.556 t=1097s
ppo: upd 760 rew/step=0.0010 pi=-0.005 v=0.004 ent=0.596 t=1107s
ppo: upd 765 rew/step=0.0000 pi=-0.004 v=0.007 ent=0.498 t=1117s
ppo: upd 770 rew/step=0.0031 pi=-0.005 v=0.006 ent=0.615 t=1128s
ppo: upd 775 rew/step=0.0021 pi=-0.006 v=0.003 ent=0.605 t=1138s
ppo: upd 780 rew/step=0.0005 pi=-0.007 v=0.006 ent=0.560 t=1147s
ppo: upd 785 rew/step=0.0006 pi=-0.005 v=0.004 ent=0.527 t=1157s
ppo: upd 790 rew/step=0.0005 pi=-0.006 v=0.002 ent=0.444 t=1167s
ppo: upd 795 rew/step=0.0016 pi=-0.008 v=0.003 ent=0.604 t=1176s
ppo: upd 800 rew/step=0.0017 pi=-0.007 v=0.003 ent=0.533 t=1187s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 800 score=0.076 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.76 pass_hard=0.00
ppo: upd 805 rew/step=0.0007 pi=-0.006 v=0.002 ent=0.485 t=1214s
ppo: upd 810 rew/step=0.0007 pi=-0.008 v=0.003 ent=0.536 t=1224s
ppo: upd 815 rew/step=0.0013 pi=-0.006 v=0.001 ent=0.518 t=1235s
ppo: upd 820 rew/step=0.0003 pi=-0.006 v=0.003 ent=0.534 t=1246s
ppo: upd 825 rew/step=-0.0015 pi=-0.005 v=0.013 ent=0.526 t=1256s
ppo: upd 830 rew/step=-0.0002 pi=-0.004 v=0.005 ent=0.515 t=1267s
ppo: upd 835 rew/step=-0.0008 pi=-0.006 v=0.003 ent=0.540 t=1278s
ppo: upd 840 rew/step=-0.0012 pi=-0.005 v=0.010 ent=0.555 t=1289s
ppo: upd 845 rew/step=0.0004 pi=-0.005 v=0.002 ent=0.504 t=1298s
ppo: upd 850 rew/step=-0.0007 pi=-0.005 v=0.007 ent=0.602 t=1307s
ppo: upd 855 rew/step=0.0010 pi=-0.006 v=0.003 ent=0.576 t=1317s
ppo: upd 860 rew/step=-0.0009 pi=-0.008 v=0.008 ent=0.557 t=1325s
ppo: upd 865 rew/step=0.0013 pi=-0.008 v=0.003 ent=0.540 t=1335s
ppo: upd 870 rew/step=0.0003 pi=-0.007 v=0.003 ent=0.533 t=1360s
ppo: upd 875 rew/step=-0.0008 pi=-0.006 v=0.008 ent=0.603 t=1389s
ppo: upd 880 rew/step=-0.0025 pi=-0.003 v=0.012 ent=0.551 t=1412s
ppo: upd 885 rew/step=0.0007 pi=-0.005 v=0.004 ent=0.571 t=1438s
ppo: upd 890 rew/step=-0.0005 pi=-0.007 v=0.003 ent=0.501 t=1465s
ppo: upd 895 rew/step=0.0011 pi=-0.006 v=0.003 ent=0.594 t=1492s
ppo: upd 900 rew/step=-0.0000 pi=-0.004 v=0.003 ent=0.494 t=1515s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00900.bin (941716 bytes), parity skipped
ppo: added snapshot /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00900.bin; league: ['rule:easy 0.55@375', 'rule:normal 0.45@875', 'rule:hard 0.46@916', 'rule:impossible 0.48@391', 'frozen:snap_00300.bin 0.67@757', 'frozen:snap_00600.bin 0.86@142', 'frozen:snap_00900.bin -']
ppo: upd 905 rew/step=-0.0004 pi=-0.005 v=0.005 ent=0.499 t=1546s
ppo: upd 910 rew/step=0.0009 pi=-0.005 v=0.004 ent=0.585 t=1567s
ppo: upd 915 rew/step=0.0007 pi=-0.006 v=0.003 ent=0.545 t=1578s
ppo: upd 920 rew/step=0.0004 pi=-0.005 v=0.006 ent=0.572 t=1587s
ppo: upd 925 rew/step=0.0000 pi=-0.004 v=0.003 ent=0.524 t=1597s
ppo: upd 930 rew/step=0.0006 pi=-0.006 v=0.003 ent=0.563 t=1607s
ppo: upd 935 rew/step=0.0014 pi=-0.004 v=0.004 ent=0.585 t=1617s
ppo: upd 940 rew/step=-0.0008 pi=-0.006 v=0.010 ent=0.633 t=1627s
ppo: upd 945 rew/step=0.0010 pi=-0.006 v=0.003 ent=0.609 t=1637s
ppo: upd 950 rew/step=-0.0009 pi=-0.006 v=0.008 ent=0.599 t=1648s
ppo: upd 955 rew/step=0.0005 pi=0.000 v=0.010 ent=0.552 t=1659s
ppo: upd 960 rew/step=0.0009 pi=-0.004 v=0.003 ent=0.586 t=1670s
ppo: upd 965 rew/step=0.0008 pi=-0.007 v=0.004 ent=0.575 t=1680s
ppo: upd 970 rew/step=0.0007 pi=-0.005 v=0.003 ent=0.570 t=1690s
ppo: upd 975 rew/step=0.0010 pi=-0.007 v=0.004 ent=0.536 t=1701s
ppo: upd 980 rew/step=-0.0005 pi=-0.005 v=0.007 ent=0.525 t=1712s
ppo: upd 985 rew/step=0.0006 pi=-0.006 v=0.004 ent=0.577 t=1722s
ppo: upd 990 rew/step=-0.0003 pi=-0.004 v=0.004 ent=0.506 t=1733s
